objekt,omfång,tid,institution,typavhandlingar,anmärkning
"Göteborgs arbetareförening, byggnadsföreningen Haga",24 vol.,1919-1957,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","protokoll, stadgar, diverse handlingar, räkenskaper, avtal",GSAF nr 1159
Göteborgs arbetareförening ; Folkets Hus nr 1 nr 2 i Göteborg,39 vol.,1898-1953,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","protokoll, utgående handlingar, ämnesordnade handlingar, räkenskaper, verksamhetsberättlerser, inventarieförteckningar, ritningar, fotografier",GSAF 780
Göteborgs arbetareförening ; Byggnadsföreningen Redbergsgården,49 vol.,1934-1968,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","protokoll, brev, ämnesordnade handnlingar, räkenskaper",GSAF 2907
"Byggnadsföreningen Folkets Hus, Göteborg",c:a 13 hm  eller 153 vol. + 24 flyttkartonger,1941-1972,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","Oförtecknat: protokoll, korrespondens, inkomna handlingar, ämnesordnade handlingar, räkenskaper, tryck Förtecknade handlingar: matriklar, korrespondens, ämnesordnade handlingar, räkenskaper, ritningar, tryck",A. FA GSAF 777 B. FHP-enkät
Föreningen Folkets Hus Biskopsgården,A. 1 vol. B. okänt,A. 1993-1995 B. okänt,"A. Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv B. I lokalen Folkets Hus Biskopsgården","A. verksamhetsberättelser, program B. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier","GSAF 776, NAD, FHP-enkät"
Föreningen Folkets Hus Dala u p a,A. 2 vol.  B. fragment,"A. 1906-1910  B. 1906, ?","A. Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv B. ARAB","A. protokoll, ämnesordnade handlingar B. korrespondens, bidragskort",GSAF 778 ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus Gamlestaden u p a [Göteborg],fragment,"1907, 1923","Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","flygblad, stadgar",GSAF 4344
Byggnadsföreningen Folkets Hus i Göteborg fria pensionsstiftelse,1 vol.,1951-1967,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","protokoll, stadgar, årsredovisning, reglemente",GSAF 4768
Folkets Hus Lundby ekonomisk förening u p a,fragment,1944,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv",stadgar,GSAF 4345
Byggnadsförening Folkets Hus Lyckan (Västra Frölunda) u p a,fragment,1907,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","stadgar, andelsbevis",GSAF 4343
Byggnadsföreningen Folkets Hus Säve u p a,fragment,1933-1944,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","stadgar, dragningslistor",GSAF 4342
Byggnadsföreningen Folkets Hus Tingstad,A. 40 vol.  B. fragment,A. 1926-1972 B. 1926-52,"A. Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv och Folkrörelsearkivet i Mölndal","protokoll, förteckningar, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, ritningar, fotografier, tryck,klipp, affischer","GSAF 779 samt FA Mölndal, NAD, FHP-enkät"
Föreningen Folkparken i Göteborg (Krokäng),fragment,"1906-1908, 1923-1931","Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","vykort, aktiebrev, förvaltningsberättelser","GSAF 4341, se också Göteborgs arbetarekommuns arkiv"
Hagens Folkets husförening,fragment,1917-1950,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv",revisions- och styrelseberättelse,GSAF 2421
Landala lokalförening u p a,"0, 19 hm",1934-1970,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","protokoll, korrespondens, ämnesordnade handlingar, räkenskaper",GSAF 2182
"SAP Västra Frölunda socialdemokratiska arbetarekommun, Älvsborgs Folkets husförening","0, 08 hm 4 vol.",1929-1943,"Region- och stadsarkivet Göteborg,, Folkrörelsernas arkiv","protokoll, liggare och register, kassabok",GSAF 4008
"SAP, Göteborgs arbetarekommun",,c:a 1901-1945,"Region- och stadsarkivet Göteborg, Folkrörelsernas arkiv","handlingar rörande Krokängs folkpark; protokoll, aktieregister, folkbiografen, årsberättelser, räkenskaper, ämnesordnade handlingar m m","GSAF 3225 del av förteckning, del av best¨åndet"
Västra Folketshusregionen,"0,06 hm",1977-1993,"Region- och stadsarkivet Göteborg,, Folkrörelsernas arkiv",diverse handlingar,GSAF 3968
Sandvikens Byggnadsförening (Sandvikens Folkets Hus och Folkets Park),,A. 1903-1961,A. Centralarkivet Sandvikens kommun,"A. protokoll, register, inatsbevis, räkenskaper","A. Pressklipp förvaras i Sandvikens stad/Kulturhistoriska nämndens pressklipparkiv, fotografier bl a i Kulturhistoriska nämndens bildarkiv"
Storviks Folkets husförening (Storviks Folkets Park),,1909-1999,Centralarkivet Sandvikens kommun,"protokoll, förteckningar, styrelse- och revisionsberättelser, räkenskaper, fastighetshandlingar och ritningar, historiker",Se också Folkrörelsearkivet i Gävleborg
Järbo Folkets Hus Byggnadsförening,,1934-1987,Centralarkivet Sandvikens kommun,"protokoll, styrelse- och revisionsberättelser, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar","alt namn Folkets husföreningen Järbo, Sandviken Uppgifter från Sandvikens kommunarkiv och FHP-enkät"
Hammarby byggnadsförening u p a,,1906-1964,Centralarkivet Sandvikens kommun,"protokoll, register, räkenskaper",
Ystads Arbetareförenings Byggnadsaktiebolag (Folkets Hus),,,Stadsarkivet Ystad,,"nr M 030 / 66111 Originalritningar från 1885 förvaras på Ystad kommuns byggnadsnämnd. FA, NAD"
"Ystads Partiföreningars Fastighetsförening, Folkets Hus och parkföreningen",A. 30 vol.  B. fragment C. 206 vol.,1828-1985,A+C. Stadsarkivet Ystad B. Skånes arkivförbund,"protokoll, utgående handlingar, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper, statistik, ritningar, fotografier, tryck","nr M 030 / 66735. Originalritningar från 1914 förvaras på kommunens byggnadsnämnd. Handlingar rörande Folkets park finns också i arbetarekommunens arkiv, på biblioteket och i lokalen.  Se arkiv Surbrunnsparken Ystad ek. förening."
Fredrik Vilhelm Thorssons arkiv [Ystad Folkets Hus och Park],,,Stadsarkivet Ystad,,
"Föreningen Folkets Park Furuhäll, Åmål",A. 4 hm B. fragment,A. 1926-1970  B. 1928,A. Åmåls kommuns arkiv B. ARAB,"A. protokoll, utgående handlingar, förteckningar, korrespondens, ämnesordnade handlingar, räkenskaper B. historik tidningsklipp","Se Örnäsposten [Åmålsortens hembygdsförenings tidning] 1993 s 14-15 samt Elfstedt, Nils: Gycklarminnen, Åmål 1993 s. 21-36. ARAB: Folkets och Parker; övriga landet vol. 10 [samling]"
Arjeplogs Folkets Hus byggnadsförening,3 vol.,1950-1961,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, utgående handlingar, förtecknignar och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper",
Folkets husföreningen Sandträsk,A. 5 vol. B. fragment,A. 1947-1970  B. 1947,A. Folkrörelsernas arkiv i Norrbotten [Luleå]  B. ARAB,"A. årsberättelser, utgående handlingar, förteckningar och register, inkoomna handlingar, ämnesordnade handlingar, räkenskaper, tryck, föremål B. stadgar","A. FA, NAD B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
"Byggnadsföreningen Framtiden, Degerselet",1 vol.,1925-1942,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, stadgar, inkomna skrivelser, ämnesordnade handlingar, räkenskaper",
"Bodens Folkets husförening, Boden",21 vol.,1902-1973,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, utgående skrivelser, förteckningar och register, inkomna handnlingar, ämnesordnade handlingar, räkenskaper, tryck",Arkivhandlingar även i Folkets Hus Boden
Folkets husföreningen u p a Nikkala,1 vol.,1919-1981,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, stadgar, register, ämnesordnade handlingar, räkenskaper","FABD, NAD"
Folkets husföreningen u p a Kåbdalis,4 vol.,1944-1971,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, stadgar, utgående skrivelser, förteckningar, inkomna handlingar, ämnesordnade handlingar, räkenskaper, andelsbevis","FABD, NAD"
Porjus Folkets husförening,fragment,1912,Folkrörelsernas arkiv i Norrbotten [Luleå],stadgar,
Byggnadsföreningen Folkets Hus u p a Murjek,1 vol.,1942-1951,Folkrörelsernas arkiv i Norrbotten [Luleå],räkenskaper,Föreningen lades ned utan att något FH kommit till stånd men återuppstod igen 1967
Snesuddens Folkets husförening,2 vol.,1938-1973,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, utgående handlingar, inkomna handlingar, ämnesordnade handlingar, räkenskaper",
Gällivare Folkets husförening,A. 13 vol. B. okänt,A. 1907-1977 B. 1950-tal -,A. Folkrörelsernas arkiv i Norrbotten [Luleå] B. I lokalen Gällivare Folkets Hus,"A. protokoll, årsberättelser, stadgar, utgående handlingar, förteckningar och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, kartor och ritningar, fotografier, tryck B. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier","FA, NAD, FHP-enkät"
Koskullskulle arbetareförening Folkets Hus,26 vol.,1891-1988,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, utgående handlingarförteckningar och register, inkmna handlingar, ämnesordnade handlingar, räkenskaper, ritningar, tryck",
Nautanens Folkets husförening u p a,1 vol.,1904-1911,Folkrörelsernas arkiv i Norrbotten [Luleå] och Folkbiblioteket Malmberget,"protokoll, revisionsberättelse, stadgar, utgående skrivelser, förteckningar och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, tryck","FA, NAD"
Skaulo-Puoltikasvaara Folkets Hus byggnadsförening,1 vol.,1944-1961,Folkrörelsernas arkiv i Norrbotten [Luleå],protokoll,"FA, NAD"
Malmbergets arbetares byggnadsförening Folkets Hus,65 vol.,1895-1966,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, utgående handlingar, stadgar, liggare och register, inkomna handnlingar, ämnesordnade handlingar, räkenskaper, statistik, kartor och ritningar, fotografier, tryck",
Gällivare-Malmbergets Folkets parkförening: Malmbergets Folkets Park,2 vol.,1903-1958,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, utgående handlingar, förteckningar och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, tryck","FA, NAD"
"Byggnadsföreningen Framtiden, Båtskärsnäs",A. 1 vol. B. okänt,A.1938-1942 B. 1920-talet -,A. Folkrörelsernas arkiv i Norrbotten [Luleå] B. I lokalen Folkets Hus i Båtskärsnäs,"A. protokoll B. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, fotografier, affischer",A. FA B. FHP-enkät
Kiruna Folkets husförening u p a,55 vol.,1901-1982,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, åsrberättelser, utgående handlingar, förteckningar och register, inkomna handlingar, stadgar, ämnesordnade handlingar, räkenskaper, kartor och ritningar, fotografier, tryck, föremål","FA-BD, NAD, FHP-enkät"
Kiruna Folkets parkförening,A.. 1 vol.  B. okänt,A. 1914-1981  B. 1977-,A. Folkrörelsernas arkiv i Norrbotten [Luleå] B. I lokalen,"A. protokoll, andelsbrev, stadgar, fotografier B. protokoll, korrespondens, verksamhetsberättelser","A. FA, NAD B. I lokalen"
Föreningen Folkets Hus Svappavaara,3 vol.,1942-1971,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, utgående handlingar, förteckningar och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper","FA, NAD"
Råneå Folkets husförening,53 vol.,1918-1989,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, utgående handlingar, förteckningar och register, inkomna handnlingar, ämnesordnade handlingar, räkenskaper, statistik, kartor och ritningar, fotografier, tryck",
Luleå Folkets husförening,A. 25 vol. B. okänt,A. 1905-1968  B. okänt,A. Folkrörelsernas arkiv i Norrbotten [Luleå] B. I lokalen Folkets Hus i Luleå,"protokoll, årsberättelser, cirkulär, förteckningar och register, korrespondens och inkomna handlingar, ämnesordnade handlingar, räkenskaper, ritningar, fotografier, affischer, övrigt","FA, FHP-enkät"
Svartöstadens Folkets husförening,26 vol.,1907-1977,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, utgående handlingar, liggare och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor och ritningar, tryck",
Niemisels Folkets husförening,1 vol.,1934-1949,Folkrörelsernas arkiv i Norrbotten [Luleå],protokoll,
Pajala Folkets husförening,1 vol.,1956-1993,Folkrörelsernas arkiv i Norrbotten [Luleå],"revisionsberättelser, utgående rapporter, förteckningar, korrespondens, stadgar, likvidationshandlingar, räkenskaper, kartor och ritningar",
"Folkets husföreningen Bergsviken, Piteå",2 vol.,1907-1962,Piteå kommunarkiv och Folkrörelsernas arkiv i Norrbotten,"protokollsutdrag, utgående handlingar, förteckningar och register, ämnesordnade handlingar, stadgar, räkenskaper, kartor och ritningar, tryck",NAD
Älvsby medborgarhusförening,9 vol.,1942-1968,Folkrörelsernas arkiv i Norrbotten [Luleå],"protokoll, årsberättelser, utgående handlaingar, förteckningar och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor och ritningar, statistik, tryck",
Föreningen Folkets Hus i Enskede u p a,1 vol.,1910-tal - 1930-tal,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protkoll, stadgar, årsberättelser, räkenskaper, överståthållareämbetets resolutioner rörande danser m m",ARAB arkiv nr 3108 plac:  Ua 26/41 se även arkiv nr 2928 Enskede nya Folkets husförening u p a Häri även Enskede Folkets park
Lits Folkets husförening,fragment,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,ingår i Svenska Väg- och vattenbyggnadsarbetareförbundets arkiv ARAB arkiv nr 1590 plac: RA 23/01
Värtan-Hjorthagens Folkets husförening,1 vol.,1900-1910-tal,"Arbetarrörelsens arkiv och bibliotek, Stockholm","medlemsmatrikelar, räkenskaper, stadgar, berättelser, andelsbevis, skrivelser, cirkulär",ARAB arkiv nr 4535 plac: 26/41
Andelsföreningen Turebergs Folkets Hus u p a,4 vol.,1927-1969,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, utgående handlingar, förteckningar och register, korrespondens, räkenskaper",ARAB arkiv nr 1729 plac: RD 17/03 och RA 12/01 affischer i ARAB´s affischsamling
Folkparkernas varuförmedlings AB,128 vol.,1940-1980,"Arbetarrörelsens arkiv och bibliotek, Stockholm","kataloger, register, korrespondens (typår), bolagshandlingar, inventarielistor, räkenskaper samt handlingar rörande karnevalsföreningen","Handlingar före 1940 ingår i FPC´s arkiv ARAB arkiv nr 2940 plac RD 12/23-13/05, RB 31/18-19"
"Södra Folkparken, Stockholm",1 vol.,1920-tal,"Arbetarrörelsens arkiv och bibliotek, Stockholm","blanketter, handlingar rör fester, stadgar, årsberättelser, cirkulär, program, fotografier",ARAB arkiv nr 4528 plac 26/41
Folkets Park Stockholm,1 vol.,c:a 1900-1930,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, program, berättelser mm",ARAB arkiv nr 5451 plac 26/41
"Folkets Hus och Parker, Stockholm [samling]",2 vol.,,"Arbetarrörelsens arkiv och bibliotek, Stockholm","Handlingar från institutionens gamla samling, huvudsakligen tryck och bilder",ARAB arkiv nr 2412
Fagersta Folkets husförening,12 vol.,1902-1980,Folkrörelsernas arkiv i Gävleborg,"protokoll, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor och ritningar","FAX arkiv nr 1480, NAD"
Lerviks Folkets husförening,1 vol.,1921-1928,Folkrörelsernas arkiv i Gävleborg,"protokoll, inkomna handlingar","FAX, NAD"
Sveriges Folkbiografer,7 vol.,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,ARAB plac 22/17
Nordisk Tonefilm,27 lådor,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,ARAB arkiv nr 2944  plac: RB 21/03-16
Föreningsfilmo,54 vol.,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,"ARAB arkiv nr 2945 plac: RC 26/19-23, RB?"
Föreningsfilm,3 vol.,1944-1951,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,ARAB arkiv nr 2556 plac: RA 04/06
"Folkrörelsernas filmorganisation, Filmo",13 vol.,1937-1951,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,ARAB arkiv nr 2957 plac: RD 35/22
Folkrörelsernas programbolag,26 vol.,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,"ARAB arkiv nr 2942 plac: RD 13/15-16, RB 31/19"
Nyköpings Folkets husförening,,1901-1963,A. Nyköpings kommun- och folkrörelsearkiv B. NM,"A. verksamhetsberättelser, ämnesordnade handlingar, organisationshandlingar B.NM: inventeringsrapport, foto","NM, NAD"
Folkets Hus-samling,2 vol.,1959,Nordiska museet,"inventeringsrapporter, fotografier",ordnade alfabetiskt landskapsvis
FPC: Östergötlands distrikt,fragment,1961-63,ARAB,"årsberättelser 1961-63, 25-årsberättelse 1963",ARAB FH o FP-samling: övriga landet vol. 4
Ångermanlands Byggnadsföreningars Centralorganisation,fragment,1928,ARAB,verksamhetsberättelse 1928,ARAB FH o FP-samling: övriga landet vol. 4
FPC: Dalarnas distrikt,"A. 0, 1 hm B. fragment","A. 1934-1952 B. 1932, 1937",A. Dalarnas Folkrörelsearkiv B. ARAB,"B. stadgar 1932, 1937",A. FAW B. ARAB FH o FP-samling: övriga landet vol. 4
FPC Kalmar län,fragment,1959,ARAB,klipp,ARAB FH o FP-samling: övriga landet vol. 4
FHR: Norra Smålands distrikt,A. 1 vol. B. fragment,A. 1945-1961 B. 1944-45,A. Jönköpings läns folkrörelsearkiv B. ARAB,A. B. årsberättelse 1944-45,A. NAD B. ARAB FH o FP-samling: övriga landet vol. 4
FPC Skåne: Första distriktet,fragment,1943,ARAB,avtal,ARAB FH o FP-samling: övriga landet vol. 4
Albackens Folkets husförening,fragment,1958,ARAB,klipp,ARAB FH och FP samling: övriga landet vol. 4
Förenings Folkets Hus i Algutsboda  u p a,fragment,1911,ARAB,affisch,ARAB FH o FP-samling: övriga landet vol. 4
Alingsås Folkets husförening,fragment,spridda år 1904-1960,A. ARAB  B. Folkrörelsernas arkiv i Alingsås (NAD),"stadgar 1913, cirkulär 1925,  korrespondens 1904, klipp 1932, 1934, 1957,  1960","ARAB FH o FP-samling: övriga landet vol. 4. NAD Se även Folkets Hus Teateramatörer, Amatörklubben Tiljan, Alingsås."
Alsterbro Byggnadsförening,A. fragment,A. 1946-48,A. ARAB B. I lokalen,"A. stadgar 1948, cirkulär 1946, klipp 1947 B. protokoll, verksamhetsberättelser, räkenskaper",A. ARAB: FH o FP-samling: övriga landet vol. 4
Ankarsrums Folkets husförening,,A. 1909-1993 B. spridda år 1914-1931,A. Norra Kalmar läns föreningsarkiv B. ARAB C. I Folkets Hus,"A. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier B. stadgar 1914 o 1930, klipp 1931, andelsbevis, dansbiljett, affischer 1914 o 1916",B. ARAB FH o FP-samling: övriga landet vol. 4
Tungelsta Folkets husförening,"A. 0,5 hm  B. fragment  C. okänt","A. okänt B. 1917, 1931, 1933  C. 1989-",A. Haningearkivet  B. ARAB  C. I tillfälliga föreningslokaler,"A. protokoll, möteshandlingar B. stadgar, andelsbevis C. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar","A. FHP-enkät B. [samling] Folkets Hus och Parker, Stockholm vol. 2 C. FHP-enkät"
Fullersta Folkets husförening,A. 1 vol,A. 1927,A. Huddinge kommunarkiv B. Stockholms läns museum,"verksamhetsberättelser, korrespondens, ämnesordnade handlingar","NAD, LS"
Föreningen Folkets Hus i Ektorp upa,A. 1 vol. B. fragment,A. 1906-1915   B.  1906-1913,A. Nacka lokalhistoriska arkiv B. ARAB,"A. fastighetsförvaltning, räkenskaper B. stadgar, insatsbevis, affischer",ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Park i Jakobsberg upa,A. 2 vol.  B. fragment,A. 1939-1959,A. Järfälla kommuns centralarkiv  B. ARAB,"A. protokoll, register, korrespondens, ämnesordnade handlingar B. andelsbevis","NAD, [samling] Folkets Hus och Parker, Stockholm vol. 1."
Järfälla kommun. Kommittén för utredning av markfråga till Folkets Park i Jakobsberg upa,1 vol,1950-1952,Järfälla kommuns centralarkiv,protokoll och beslut med bilagor,NAD
Kooperativa kaféföreningen Framtiden (Sundsvall),A. 1 vol B. 8 vol.,A. 1907-1930 B. 1908-1950,"A. Föreningsarkiven i Västernorrland, Sundsvall B. Stockholms företagsminnen","A. protokoll, utgående handlingar, verksamhetsberättelser, korrespondens, ämnesordnade handlingar B. protokoll, verksamhetsberättelser, historiker, ämnesordnade handlingar, organisationshandlingar, räkenskaper, klipp.","Föreningen startade 1908. Från 1928 gemensam styrelse med Folkets Hus och Park Sundsvall. Fusion med dito 1954. Se även Sundsvalls Folkets Hus och Park, Föreningsarkiven i Västernorrland, Sundsvall"
Kooperativa kaféföreningen Framtiden (Gävle),1 vol.,1913-1920,Stockholms företagsminnen,verksamhetsberättelser,NAD. Föreningen gick i likvidation 1921
Nynäshamns kommun; Inköpsavdelningen,69 vol.,1968-1976,Nynäshamns kommuns centralarkiv,"utgående handlingar, register, ämnesordnade handlingar",NAD
Ovansundets byggnadsförening,8 vol.,1923-1961,Norrtälje stadsarkiv,"protokoll, register, fastighetshandlingar, räkenskaper",NAD
Segeltorps Folkets Hus och parkförening,"0, 5 hm",1918-1977,Huddinge kommunarkiv,"protokoll, diarier, korrespondens, ämnesordnade handlingar, fastighetshandlingar, räkenskaper",NAD
Byggnadsföreningen Heimdal (Tumba),A. 25 vol.  B. fragment,A. -1978 B. 1927-1936,A. Botkyrka kommunarkiv   B. ARAB,"A. protokoll, utgående handlingar, verksamhetsberättelser, historiker, register, korrespondens, räkenskaper, statistik, ritningar B. styrelseberättelser","NAD, ARAB [samling] Folkets Hus och Parker, Stockholm vol. 2 Enligt FHP-enkät finns Segersjö FH handlingar även i den egna lokalen"
FPC: 2:a distriktet Småland,1 vol.,1952-1980,Jönköpings läns folkrörelsearkiv,,"FP Alstermo, Aneby, Fågelfors, Gemla, Gislaved, Hultsfred, Huskvarna, Jönköping, Kalmar, Landsbro, Lessebo, Norrhult, Nässjö, Oskarshamn, Rydaholm, Tingsryd, Vetlanda, Vimmerby, Värnamo, Växjö, Västervik, Åseda."
Anarps Folkets Park u p a Härslöv,3 vol.,1923-1950,Arbetarrörelsens arkiv i Landskrona,"protokoll, verksamhetsberättelser, utgående handlingar, organisationshandlingar, andelsbevis med stadgar. räkenskaper",
Andelsföreningen Folkets Park (Kävlinge),A. 16 vol.  B. fragment  C. fragment,A. 1905-1961  B. u å  C. 1909-,A. Kävlinge kommuns centralarkiv  B. Skånes arkivförbund C. Arbetarrörelsens arkiv i Landskrona,"A. protokoll, korrespondens, räkenskaper, verksamhesberättelser, ritningar, fotografier, övrigt C. räkenskaper, andelsbevis","verksamhetstid 1906-1974 AA i Landskrona, FA Skåne, FHP-enkät"
Anderstorps parkförening,,1930-1964,Privat förvaring. Kontakta Jönköpings läns folkrörelsearkiv,"protokoll, utgående handlingar, register, räkenskaper",
Bursiljums Folkets Hus- och parkförening,fragment,1944,"Folkrörelsearkivet i Västerbotten, Nordanå",tryck,NAD
Byggnadsföreningen Lanna Folkets Park,3 vol.,1932-1983,Folkrörelsernas arkiv i Örebro län,,
Degerfors Folkets Park,"2, 90 hm",1912-,Kommunarkivet och Folkrörelsernas arkiv i Örebro,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotografier","FA, NAD, FHP-enkät"
Folkets Hus i Östansjö,17 vol.,1920-1987,Folkrörelsernas arkiv i Örebro,"protokoll, räkenskaper, verksamhetsberättelser, korrespondens, fotografier, affischer","FAT, NAD, FHP-enkät"
Folkets Hus och Park AB (Eskilstuna),,1899-1944,Eskilstuna stadsarkiv,"verksamhetsberättelser, ämnesordnade handlingar",Eskilstuna Folkets husfond. Kommunalägda Parken Zoo har handlingar i egna lokalen.
Folkets Hus och parkförening (Nävekvarn),,1921-1977,Nyköpings kommun- och folkrörelsearkiv NKFA,"protokoll, utgående handlingar, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper, statistik, kartor, ritningar, fotografier, pressklipp","NAD, FHP-enkät"
Folkets hus och parkförening (Oskarshamn),A. 99 vol.  B. fragment,A. 1904-1980 B. 1921-63,A. Folkrörelsearkivet för mellersta Kalmar län B. ARAB,"A: protokoll, räkenskaper B. årsberättleser, klipp mm","NAD, FA B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Borlänge Folkets Hus och parkförening,"3, 4 hm",1901-1985,"Dalarnas Folkrörelsearkiv, Borlänge","protokoll 1901- korrespondens 1901- räkenskaper 1906-1915, 1928- verksamhetsberättelser 1901- inventarieförteckningar 1901-1941, 1946-","NAD, FAW, FHP-enkät"
Folkets Park Gamleby,,1938-1993,Norra Kalmar läns föreningsarkiv (Västervik),"protokoll, räkenskaper, verksamhetsberättelser","NAD, FHP-enkät"
Folkets Park Hassela,1 vol,1956,Folkrörelsernas arkiv i Gävleborg,"kartor, ritningar",FAX arkiv nr 2378
Folkets Park Nora,13 vol.,1913-1966,"Privat förvaring, kontakta Folkrörelsernas arkiv i Örebro","inkomna handlingar, korrespndens, räkenskaper",NAD
Folkets Park Västervik,A. okänt  B. Fragment,"A. 1898-1993 B. 1899, 1904, 1910-12 mm",A. Norra Kalmar läns folkrörelsearkiv  B. ARAB,"A. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier, affischer, övrigt B. stadgar, fotografier, andelsbevis, klipp mm","A. NAD, FHP-enkät ARAB: Folkets och Parker: övriga landet vol 10 [samling]"
Folkets parkföreningen Enköping,24 vol.,1901-1964,Arbetarrörelsens arkiv i Enköping,,NAD
Folkets Park Hälsingborg AB,166 vol,1823-1984,Folkrörelsearkivet i Helsingborg,"protokoll, utgående handlingar, verksamhetsberättelser, historiker, register, inkomna handlingar, ämnesordnade handlingar, organsiationshandlingar, fastighetshadnlignar, räkenskaper, kartor, ritningar, fotografier, pressklipp, affischer",
Folkets Park Kopparberg,2 vol,1923-1935 (-1957),Kontakta Folkrörelsernas arkiv i Örebro,räkenskaper,NAD
Folkets Park i Valdemarsvik u p a,A. okänt B. fragment,"A. 1902-1994 B. u å 1922, 1924, 1940-58","A. Privat förvaring, kontakta Östergötlands läns föreningsarkiv B. ARAB","A. verksamhetsberättelser, historiker, register, inkomna handlaingar, organisationshandlingar, ritningar, fotografier B. stadgar, andelsbevis, inträdesbiljetter, årsberättelser",NAD ARAB: Folkets och Parker: övriga landet vol 10 [samling] Enligt FHP-enkät förvaras protokoll och räkenskaper i bankvalv
Folkets Park Hallsberg,A. 3 vol.,A. 1906-1926   B. 1908-1965,"A. Folkrörelsernas arkiv i Örebro län B. Privat förvaring, kontakta Folkrörelsernas arkiv i Örebro län","B. protokoll, utgående handlingar, register, inkomna handlingar, fastighetshandlingar, räkenskaper",Inkorporerades 1924 i föreningen Folkets Hus i Hallsberg u p a
Folkets Park Motala,162 vol.,1905-1989,Folkrörelsernas arkiv i Motala,protokoll m m,NAD
FPC 9:e distriktet (Örebro),,1940-1962,Folkrörelsernas arkiv i Örebro län FAT,,
