objekt,omfång,tid,institution,typavhandlingar,anmärkning
Folkets Hus & parkföreningen Sundsvall,20 vol.,1898-1969,Föreningsarkivet Västernorrland ; Sundsvall I lokalen,"protokoll, årsberättelser, korrespondens, ämnesordnade handlingar, räkenskaper","FA arkiv nr M784, FHP-enkät Se även Stockholms Företagsminnen: Kooperativa kaféföreningen Framtiden (Sundsvall)."
Utviks Folkets husförening,A. 1 vol. B. Fragment,1908-1911,A. Föreningsarkivet Västernorrland ; Sundsvall B. ARAB,"A. årsberättelser, korrespondens, diverse handlingar B. stadgar, affischer","FA: arkiv nr M 1374 ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Bräcke Folkets husförening u p a,A. 77 vol.   C. fragment,"A-B.  1920-1985  C. 1943, 1958",A. Föreningsarkivet i Jämtlands län B. Folkets Hus Bräcke  C. ARAB,"A. protokoll, årsberättelser, utgående handlingar, inkomna skrivelser, ämnesordnade handlignar, räkenskaper, statistik, klipp C. stadgar, klipp","FAJ, NAD ARAB FH och FP samling: övriga landet vol. 5"
Byggnadsföreningen Folkets Hus i Mörsil,A. 48 vol.,A. 1917-1987  B. 1979-2000,A. Föreningsarkivet i Jämtlands län,"A. protokoll, korrespondens, årsberättelser, ämnesordnade handlingar, räkenskaper B. protokoll, korrespondens, årsberättelser, ämnesordnade handlingar, räkenskaper, inventarieförteckningar, ritningar, fotografier, affischer",A. FA B. FHP-enkät
Byggnadsförening Folkets Hus i Vigge,2 vol.,1927-1959,Föreningsarkivet i Jämtlands län,"protokoll, korrespondens, ämnesordnade handlingar, räkenskaper","arkiv nr FAJ 12360, förteckn nr 1996/038, NAD"
Folkets Hus byggnadsförening u p a Skålan,1 vol.,1945-1964,Föreningsarkivet i Jämtlands län,"protokollsutdrag, stdgar, ämnesordnade handlingar, korrespondens, kartor och ritningar, tryck","FAJ förteckn nr 73/1995, NAD"
Byggnadsföreningen Folkets Hus u p a Ytterån,A. 19 vol. B. ?,A. 1945-1978 B. ?,"A. Föreningsarkivet i Jämtlands län B. Privat förvaring, kontakta Föreningsarkivet i Jämtlands län","A. utgående handlingar, matriklar och register, korrespondens, ämnesordnade handlingar, räkenskaper, statistik, tryck B. protokoll","A. FAJ arkiv nr 11710, förteckn nr 56/1987 B. NAD"
Folkets Hus byggnadsförening u p a Köttsjön,4 vol.,1931- 1987,Föreningsarkivet i Jämtlands län,"[protokoll] räkenskaper, övrigt","FA, FHP-enkät"
Föreningen Folkets Hus i Östersund,A. 43 vol.  B. fragment C.,A. 1903-1987,A. Föreningsarkivet i Jämtlands län B. ARAB  C. I lokalen,"A.protokoll, årsberättelser, utgående handlingar, diarier, register och förtecknignar, inkomna skrivelser, ämnesordnade handlingar, räkenskaper, fotografier, klipp, ritningarföremål B. fragment: stadgar, verksamhetsberättelser",FA: arkiv nr FAJ 1977/020  förteckn nr 1998/019 fotolista arkiv nr FAJ 10103 ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling] FHP-enkät
Folkets husföreningen Nordanborg u p a  Norderåsen,1 (6) vol.,1921-1982,Föreningsarkivet i Jämtlands län,"protokoll, matriklar, räkenskaper, övrigt",FAJ och  NAD uppger skilda antal volymer
