författare,titel,ortförlag,utgivningsår,omfång,medförfattare,medarbetare,utgivare,serie,isbn,anmärkning,klassificering,placeringarab
"Lidforss, Bengt",Socialistisk journalistik : ur Bengt Lidforss´efterlämnade skrifter ; D. 2 : Dagsbilder,Malmö : Framtiden,1923,200 s.,,,,,,,Samlingsverk,
,Deje Folkets Hus 25 år : Minnesskrift 1921 27/11 1946,Karlstad : Värmlands Folkblad,1946,40 s. : ill.,,,,,,,,
,Svenska folkrörelser ; 5 : Folkets Hus och Parker,Stockholm : Lindfors,1939,556 s. : ill.,,"red. -kommitté:  Sigfrid Hansson, Gottfrid Palm m fl","Hansson, Sigfrid",,,Svenska folkrörelser är ett verk i flera delar,Ohm-c,REF 2:2
"Branting, Hjalmar",Tal och skrifter / Hjalmar Branting ; redaktion: Z. Höglund ; 3 : Kampen för demokratin 1,Stockholm : Tiden,1927,375 s.,,"Höglund, Zeth",,,,,,REF 2:2 39003
"Lindberg, Niklas",Hissmofors Folkets Hus [Artikel],,1984,4 s.,,,,,,Ingår i Jämten - 1984(77) s. 176-179,Ohm-cz,(Samling: Folkets husföreningar vol. 1?)
"Ericsson, Per",Folkets Hus i Jönköping [Artikel],,1991,13 s. : ill.,,,,,,"Ingår i Gudmundsgillets årsbok. - 1991 (47), s. 50-62",Ohm-cz,
"Söderhäll, Bengt","Samhällsutveckling : Torsten Billmans fresk i Folkets hus, Gävle [Artikel]",,1982,8 s. : ill.,,,,,,"Ingår i Från Gästrikland. - 1982, s. 27-34",,
,Folkets Hus i Grängesberg [Artikel],,1898,2 s.,,,,,,"Ingår i Julfacklan. - 1898(5), s. 20-21",,
"Hansson, Göran",Folkets Hus Hallsberg : Bayerer Hansson Heidenreich Schuster Dip-Ing Architekten,,1988,2 s. : ill.,,,,Artikelserie På förhand,,"Presentation av planen för folkets hus i Hallsberg. Ingår i Arkitektur. - 1988:3, s. 12-13 : ill.",,
"Björkman, Armand",Linköpings konsert & kongress [Artikel],Linköping,1988,8 s. : färgill.,,,,,,"Ingår i Arkitektur. - 1988:2, s. 12-19 : färgill.",,
"Bergqvist, Ola",Botkyrkafolkets Hus [Artikel],,1987,1 s. : färgill.,,,,,,"Ingår i Arkitektur. - 1987 : 10, s. 11 : färgill.",Ic-cz Arkitektur Sverige Icd-c Arkitektur Byggnader Sverige,
"Abrahamsson, Kristina",Folkets Hus norra Botkyrka [Artikel],,1987,7 s.,"Kwetczers, Jacek",,,Artikelserie Debut,,Ingår i Arkitektur 1987:10. s. 4-10 : färgill.,Ic-cz Arkitektur Sverige Icd-c Arkitektur Byggnader Sverige,
,Ett arbetarepalats i Göteborg [Artikel],,,2 s.,,,,,,"Ingår i Första maj. - 1908, s. 14-15",,
"Hellberg, Mauritz",Folkets Husen i Värmland [Artikel],,1919,2 s.,,,,,,"Ingår i Unga tankar. - 1919(14:12), s. 164-165",,
"Nilsson, Fredrik",När arbetarne läsa [Artikel],,1902,5 s.,,,,,,"Ingår i Lucifer. - 1902(1:2), s. 26-30",,
"Magnusson, G. Gerhard",Arbetarnas Stockholm [Artikel],Stockholm : Nilsson & Bergling,1901,4 s.,,,,,,"Ingår i Boken om Stockholm i ord och bild. - Stockholm : Nilsson & Bergling, 1901-1902. - Vol 1, 1901, s. 335-338",,
"Stensman, Mailis",Lär av 60-talet : Konst och arkitektur i samklang [Artikel],Stockholm,1988,3 s. : ill.,,,,,,"Ingår i Form (Stockholm). - 1988(84:7), s. [49]-51 : ill.",Iiv-cz Konst Offentlig Miljö Sverige Ibz Konst Konsthistoria,
"Jonsson, Conrad",Konsten åt folket [Artikel],Trelleborg,1911,1 s. [?],,,,,,Ingår i Ungdemokraten / [utg. : Trelleborgs socialdemokratiska ungdomsklubb].,,
"Rådström, Anne Marie",Min morfar byggde Sveriges första Folkets hus [Artikel],,1996,57 s. : ill.,,,,,,"Ingår i Elbogen (Årsskrift). - 1996(64), s. 35-86 : ill. Om Johan Vilhelm Nordborg och Malmö Folkets hus, uppfört 1892-1893",Ohm-cz Samlingslokaler Allmänna Sverige Lz Biografi Genealogi,
"Björklund, Gottfrid",Folkets Hus förr och nu : olika arter och typer : för Julfacklan  [Artikel],,1916,2 s.,,,,,,"Ingår i Julfacklan. - 1916(23), s. 10-11",,
"Kilbom, Karl",Något om våra Folkets Hus [Artikel],,1916,2 s.,,,,,,"Ingår i Folkkalendern. - 1916, s. 115-116",,
,Statsbidrag till Folkets husföretag : en motion i första kammaren [Artikel],,1912,1 s.,,,,,,"Ingår i Lantarbetaren. - 1912(5:5), s. 2 Avser Mauritz Hellbergs motion",,
"Hellberg, Mauritz",Folkets Hus idéen : enligt värmländskt mönster [Artikel],,1911,2 s.,,,,,,"Ingår i Unga tankar. - 1911(6:9), s. 137-138",,
"Smedberg, Richard",Lokalfrågan [Artikel],,1908,3 s.,,,,,,"Ingår i Social tidskrift. - 1908(8:1), s. 44-46",,
,Bildande förströelser [Artikel],,1902,1 s.,,"Hellberg, Mauritz Salomon, Otto",,,,"Ingår i Folkskolans vän. - 1902(18:19), s. 266",,
"Salomon, Otto",Bildande förströelser [Artikel],,1902,,,"Hellberg, Mauritz",,,,Ingår i Slöjdundervisningsblad från Nääs. - 1902(18:4),,
,Folkbildningshem,,1902,2 s.,Mauritz Hellberg,,,,,Ingår i Svensk lärartidning. - 1902(21:15) s. 39-40,,
,Ett hus betyder så mycket,Stockholm,1998,,,,,,,,,
"Knutsson, Rickard",Åhus Folkets Hus & parkförening u p a 90 år,Åhus,[1996],30 s. : ill.,,,,,,Ingår i Skrifter / utgivna av S:ta Annas Gille i Åhus ; 17,Ohm-cz,
"Karlsson, Bengt",Folkets Park i Lund : en 100-årig historia 1895-1995,[Lund],1995,160 s. : ill.,,,,,91-630-3668-1,,Ohm-cz,
"Fredriksson, Jan",Folkets Hus - arbetarborgen,Helsingborg : ABF : St ockholm : Hägglund,1994,"96 s. : ill., faks",,Arbetarnas Bildningsförbund (Helsingborg),,,91-7123-046-7,,,
,Remissammanställning över betänkandet SOU 1994:32 Mycket under samma tak,Stockholm 1994,,,,,,,,,,
,Mycket under samma tak ; 1993 års samlingslokalutredning,Stockholm,1994,,,,,,,,,
"Carlsson, Hans",Folkets Park Västervik : bilder ur Folkets Parks historia,Västervik : Norra Kalmar läns föreningsarkiv,1993,47 s. : ill.,,Norra Kalmar läns föreningsarkiv,,Folkrörelsehistoria; 4,,,Ohm-cz,
"Nuder, Pär",700 “nya” Folkets Hus : en debatt om Folkets Hus framtid,Stockholm : Folkets Hus Riksorganisation,1993,63 s. : ill.,,,,,,,Ohm-c,
,"Sommarlust, 50 år som folkpark och 90 år som nöjespark 1993 (Kristianstad)",[Kristianstad],1993,40 s. : ill.,,,,,,,Ohm-cz,
"Mårtensson, Eric",Minnen kring Folkets Park i Skurup,Skurup,1991,59 s. : ill.,,,,,,,,
"Moback, Jan","Huset & parken : ett redskap för styrelsens diskussioner, studier och planering med sikte på framtiden",Stockholm. FHR och FPC,1988,47 s. : ill.,"Erlandson-Ribrant, Katarina",,,,91-7994-016-1,,Ohm-c,
"Berntsen, Harald",100 år med Folkets Hus,Oslo : Folkets Hus landsforbund : Tiden Norsk Forlag,cop. 1987,530 s. : ill.,,,,,82-10-03042-6,,"Ohm-db:k Samhällslokaler Allmänna Norge Historia Vetenskapshistoria Ku-db 46, Socialhistoria Norge Nya Tiden",
,Samnyttjande av allmänna samlingslokaler i glesbygd,Stockholm,1987,,,,,,,,,
,Södra distriktet av FHR 25 år 1961-1985,Nässjö,[1986],24 s. : ill.,,,,,,,Ohm-c:bf,
"Nyman, Kaj",Beckomberga Folkets Hus,Bromma,1986,23 s. : ill.,Denny Lorentzen [foto],Beckomberga Folkets Hus,,,,,Ohm-cz Samlingslokaler Allmänna Sverige Vp-cz Hälsovård Sjukvård Sverige,
"Petersson, Birgit",Umeå Folkets Hus och dess historia,Umeå : Folkets husförening,[1986],"152 s. : ill., faks",,,,,,,Ohm-cz,manus 149 s. Samling: Folkets husföreningar vol. 3
"Linder, Sven-Ulrik",Inventering av folkparkernas upprustnings- och utbyggnadsbehov för tiden 1986-1990,Stockholm : FPC,1986,211 s. : tab.,,Folkparkernas Centralorganisation,,,,,Ohm-c Samlingslokaler Allmänna Sverige Ppbdg Husbyggnad,
"Lindstrand, Gisela",Folkets Hus mitt i byn,Stockholm : FHR,1986,54 s. : ill.,,,,,,,Ohm-c,
"Gunsth, Albin",Historik om Norrbo Folkets Hus,Norrbo : Folkets Hus,[1986],16 s.,,Folkets Hus Norrbo,,,,,Ohm-cz,
"Alfredsson, Arthur",Väsbyminnen : en förenings historia,Upplands Väsby : Fören. Väsby medborgarhus,1985,76 s. : ill.,,"Hildeland, Monica Föreningen Väsby medborgarhus",,,,,Ohm-cz,
"Petersson, Birgit",Umeå Folkets Hus och dess tillkomsthistoria,Umeå Folkets husförening,[1985],48 s. : ill.,,,,,,,Ohm-cz,
,Samhället och samlingslokalerna,Stockholm,1981,,,,,,,,,
"Nyberg, Helge",Ljungaverks Folkets husförening 50 år : 1929-1979,[S.I.],[1980],[7] s.,,,,,,,,
"Ahlman, Harald",Folkets Hus - byggnader på Gotland : låt husen berätta,Visby : ABF Gotland,[1980],16 s. : ill.,,,,,,,Ibz Konst Konsthistoria Ohm-cbf Samlingslokaler Allmänna Gotland,
"Lindh, Erik A.",Byggnadsföreningen Heijmdal,[Tumba],[1984],,,,,,,,,
,Vårt Folkets Hus / [innehåll och grundms: Malte Askvik...],Stockholm : Folkets Husförenigarnas Riksorgansiation (FHR) : Brevskolan,1977-1979,6 vol.,,,Folkets husföreningarnas riksorganisation,,91-7026-885-1,,Ohm-c,FHR 5 Serier
,Vårt Folkets Hus  Avsnitt 1 / Detta är Folkets Hus [innehåll och grundms: Malte Askvik...],Stockholm : Folkets Husförenigarnas Riksorgansiation (FHR) : Brevskolan,1977,28 s. : ill.,,,Folkets Husföreningarnas Riksorganisation,,,,,FHR 5 Serier
,Vårt Folkets Hus Avsnitt 2 / Folkets Hus olika verksamhetsgrenar [innehåll och grundms: Malte Askvik...],Stockholm : Folkets Husföreningarnas Riksorgansiation (FHR) : Brevskolan,1977,25 s. : ill.,,,Folkets Husföreningarnas Riksorganisation,,,,,FHR 5 Serier
,"Vårt Folkets Hus Avsnitt 3 / Folkrörelsedebatten, huvudmannaskap [innehåll och grundms: Malte Askvik...]",Stockholm : Folkets Husförenigarnas Riksorgansiation (FHR) : Brevskolan,1979,15 s. : ill.,,,Folkets Husföreningarnas Riksorganisation,,,,,FHR 5 Serier
,Vårt Folkets Hus Avsnitt 4 / Vad är kultur? [innehåll och grundms: Malte Askvik...],Stockholm : Folkets Husförenigarnas Riksorgansiation (FHR) : Brevskolan,1978,31 s. : ill.,,,Folkets Husföreningarnas Riksorganisation,,,,,FHR 5 Serier
,Vårt Folkets Hus Avsnitt 5 / Ekonomi [innehåll och grundms: Malte Askvik...],Stockholm : Folkets Husförenigarnas Riksorgansiation (FHR) : Brevskolan,1978,22 s. : ill.,,,Folkets Husföreningarnas Riksorganisation,,,,,FHR 5 Serier
,Vårt Folkets Hus Avsnitt 6 / Att sälja Folkets Hus - som idé och företag [innehåll och grundms: Malte Askvik...],Stockholm : Folkets Husförenigarnas Riksorgansiation (FHR) : Brevskolan,1978,31 s. : ill.,,,Folkets Husföreningarnas Riksorganisation,,,,,FHR 5 Serier
,Finansiering av allmänna samlingslokaler,Stockholm: Allmänna förlaget,1971,143 s.,,,Samlingslokalutredningen,,,SOU 1971:92,,
"Andersson, Sven",Ösmo Folkets husförening 50 år : några minnen och protokollsanteckningar,Sundberg,[1973],12 s.,,Ösmo Folkets husförening,,,,Lunds universitetsbibliotek,Ohm-z,
,Folkrörelser och samlingslokaler / Referensgruppen för folkrörelsefrågor,Stockholm,1979,,,,Referensgruppen för folkrörelsefrågor,,,,,
"Ahlman, Harald",Folketshusresan i Skåne,Lund,1979,,,,,,,,,Br 67/2654
"Elowsson, Nils",Åhus Folkets Hus- och parkförening 70 år,Åhus,1976,,"Dahl,  Olle",,,,,,,
,Betänkande med förslag till ändring av bestämmelserna om statligt stöd för allämnna samlingsloklaer m.m.,Stockholm,1960,,,,,,,,,
,Allmänna samlingslokaler : handledning,Stockholm,1962,63 s.,,,,,,,,
,Våra samlingslokaler : I staden - på landet,Stockholm: Natur och kultur,1943,95 s. : ill.,"Rydh, Hanna",,,Fredrika Bremer-förbundets skriftserie ; 5,,,Ohm,Br/ 35 307
,Betänkande med utredning och förslag rörande tillgodoseendet av behovet av allmänna samlinglokaler,Stockholm,1939,,,,,,,,,
,Upprop till skandinaverna i Chicago,Chicago,1904,1 ark,,"Alberg, Albert",,,,,Ohm-qaz Samlingslokaler Allmänna Förenta Staterna,
"Lundberg, C.L.",En kulturens utpost i höga Norden / Om arbetarnas församlingsbyggnad i Malmberget. [Artikel],,1897,2 s.,,,,,,"Ingår i Julfacklan. - 1897(4), s. 4-5",,
"Ohlsson, Bror-Erik",Ett sekel av upplevelser : Parken Zoo i Eskilstuna 100 år / av Bror-Erik Ohlsson ; minnesanteckningar av Håkan Boström,Eskilstuna : Stadsarkivet,1998,152 s. : ill.,,Håkan Boström,,,91-87954-18-4,,Ohm-cz,
"Ahlberg, Hakon",Typritningar till Folkets hus.,Stockholm,1932,7 s.,,,,,,,,
"Estreen, Rishard",Arbetarna och teatern,Stockholm,1972,,,,,,,Ingår i Arbetarrörelsens årsbok 1972,,
,Folkets Hus - ortens kulturcentrum : utg. i samband med FHC kongress i Stockholm 21-23 febr 1941,Stockholm,1941,48 s. : ill.,,,,,,,,
,Folkparksforum -69 : estraddebatt : folkparkerna-fritiden-framtiden,Stockholm,1970,39 s.,,,,,,,,
"Hedberg, Peter",Folkparkerna : ett analysförsök,Lund,1968,,,,,,,Trebetygsuppsats i sociologi Vt 1968,,
"Hedberg, Peter",Slutrapport för undersökning av Folkparkerna sommaren 1966,Lund,[1966],,,,,,,,,
Lindroth; Bengt,Bingo! : en kritisk granskning av folkrörelserna i Sverige 1850-1975,Stockholm,1975,224 s.,,,,,,,,
"Malmsten, Fritiof","Varieté : Frtitiof Malmsten berättar minnen från en nära 50-årig verksamhet bland artister, nöjesföretag och samlare.",Jönköping: Folkets Parkers Centralstyrelsers förlag,1945,179 s. : ill.,,,,,,,,
,De svenska folkparkerna : the popular parks of Sweden : die Swedischen Volksparke,Eskilstuna,1930,16 s.,,,,,,,,
,Kort översikt över Arkelstorps Folkets husförenings 25-åriga verksamhet.,Kristianstad,1932,8 s. ill.,,,,,,,,
"Persson, Henrik",Folkets Hus i Borås 50 år 1899-1949 ; minnesskrift,[Borås],1949,47 s. : ill.,,,,,,,,
,Minnesskrift : 10/3 1901-1941 / Föreningen Folkets Hus i Domnarvet-Borlänge,Falun,1941,37 s.,,,,,,,,
"Andersson, Anders","Historik : till Föreningen Folkets Hus, Falkenberg, 30-fest den 7 nov 1936",[Falkenberg],[1936],5 s.,,,,,,,,
,Festskrift till invigningen av Stadsteatern - Folkets Hus i Falun den 10 oktober 1964,Falun,1964,20 s. : ill.,,,"Byggnadskommittén för Stadsteater - Folkets Hus, Falun",,,,,Samling: Folkets husföreningar vol. 1
,Minnesskrift i anledning av Hagfors Folkets husförenings 10-åriga tillvaro 1918-1928,Karlstad,1928,23 s. : ill.,,,,,,,,
,Halmstad Folkets Hus och Folkpark 75 år 31 ugusti 1974,Halmstad,1974,37 s. : ill.,,,,,,,,
,Jubileumsskrift med anledning av Hofors Folkets husförenings 40-åriga verksamhet 1906-1946,Hofors,1946,55 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 1
,Folkets Hus jubileumsskrift [Hudiksvall],Hudiksvall,1934,12 s. : ill.,,,,,,,,
,Folkets Husföreningen Hudiksvall 50 år 1904-1954,Hudiksvall,1954,20 s. : ill.,,,,,,,,
,Minnesskrift över Huskvarna Folkets Hus 30-åriga verksamhet : 1909-1939,Jönköping,1939,7 s. : ill.,,,,,,,,
,Jubileumsbladet : Hälsingborgs Folkets Hus 1906-1931 och fackliga centralorganisationen 1926-1931,Hälsingborg,1931,18 s. : ill.,,,,,,,,Br Q/063
,Kort historik över föreningen Folkets Hus åren 1908-1928 : uppgjord till jubiléet den 3 november 1928 [Lund],Lund,1929,,,,,,,,,
"Eriksson, Anders",Lunds Folkets Hus 1900-1950 : minnesskrift / på uppdrag av föreningens styrelse utarb.,Lund,1951,119 s. : ill.,,,,,,,,39682
,Minnesskrift 1918-1943 / Folkets husföreningen i Munkfors 25 år,Karlstad,1943,32 s. : ill.,,,,,,,,
,Minnesskrift : Norberg Folkets husförening 1914-1939,Västerås,1939,28 s. : ill.,,,,,,,,
,40-årsberättelse 1912-1951 / Föreningen Folkets Hus i Sollentuna u p a Rotebro,Rotebro,1952,23 s.,,,,,,,,
,50-årsberättelse 1912-1961 / Föreningen Folkets Hus i Sollentuna u p a Rotebro,Rotebro,1962,17 s.,,,,,,,,
"Tengdahl, Knut",Historik över Folkets Hus i Stockholm,Stockholm,1911,15 s.,,,,,,,,
"Berglund, J. E.",Historik över Folkets Hus i Stockholm,Stockholm,1912,14 s.,,,,,,,,
,"Föreningen Folkets Hus, Södertälje 1903-1928",[Södertälje],1928,22 s. : ill.,,,,,,,,
,"Föreningen Folkets Hus, Södertälje u.p.a.1903-1943 : jämte verksamhets- och revisionsberättelse för 1942",Södertälje,1943,15 s. : ill.,,,,,,,,
"Wallin, Torsten",Södertälje Folkets Hus 1903-1953 : okuvlig vilja högborens grund : en krönika i anslutning till Södertälje Folkets Hus´ Förenings 50-årsjubileum,Södertälje,1953,65 s. : ill.,,,,,,,,
,Kortfattad historik öfver 20 år af Föreningen Folkets Hus i Uppsala tillvaro och verksamhet.,Uppsala,1918,14 s.,,,,,,Förvaras på FAC Folkrörelsernas arkiv i Uppsala län: R 1991,,
,Föreningen Folkets Hus u.p.a. Valdemarsvik : historik 1918-1938,[Valemarsvik],1938,7 s.,,,,,,,,
,Vårt nya Folkets Hus,Åhus,1961,5 s.,,,,,,,,
"Österberg, Gottfrid",Minnesskrift utg. med anledning av Österby-Dannemora Folkets husförenings tjugofem års jubileum,Tierp,1947,31 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 3
,Minnesskrift vid Arvika Folkets Parks 25-årsjubileum 1948,[Arvika],[1948],43 s. : ill.,,,,,,,,
,Sommarens festprogram 1946 : Alingsås Folkets Park,Alingsås,1946,48 s. : ill.,,,,,,,,
,"Folkets Park, Alingsås : 1915-1930",Alingsås,1930,48 s.,,,,,,,,
,Folkets Park Enköping 50 år,[Enköping],1951,22 s.,,,,,,,,
"Persson, Karl",Jubileumsskrift med anledning av Folkets Hus och Park i Fagersta 40-åriga verksamhet 1906-1946,Fagersta,1946,40 s. : ill.,,,,,,finns hos föreningen,,
,Flens Folkets Parks jubileumsskrift 1906-1931,Flen,1931,16 s. : ill.,,,,,,,,
"Jacobson, Signe",Folkparken : minnesskrift i anledning av Folkparken i Halmstad 10-årsjubileum 30 april 1937,Halmstad,1937,32 s. : ill.,,,Föreningen Folkets Park i Halmstad,,,,,
,Huskvarna Folkets Park 23/6 1925-1935 : jubileumsskrift och sommarens program,Jönköping,1935,39 s. : ill.,,,,,,,,
"Nyman, Einar",Folkets Park Härnösand 25 år,Härnösand,1928,47 s. : ill.,"Nordin, Herman och Träff, Ragnar",,,,,,,
"Hörngren, Olov",Folkets Park Härnösand 50 år,Härnösand,1953,59 s. : ill.,,,,,,,,
"Andersson, Robert",Kalmar Folkparks historia 1900-1950 : tillägnad Föreningen Folkets Hus,Kalmar,1951,151 s. : ill.,,,,,,,,
,Festskrift vid Karlshamns Folkets Parks 40-årsjubileum,[Karlshamn],1943,15 s. : ill.,,,,,,,,
"Ericsson, Elof",Festskrift : anteckningar om Föreningen Folkets Hus och Park i Karlskoga samt dess verksamhet åren 1900-1953 : utgiven till invigningen av Karlskoga Folkets Hus och stadsteater den 12 december 1953,Örebro,1953,47 s. : ill.,"Claesson, Stig och Olsson, Eric",,,,,,,
,Sommarlust 50 år [Kristianstad Folkets Park 1903-1953],Kristianstad,1953,58 s. : ill.,,,,,,,,
,"Folkets Park, Limmared, 20 år [1928-1948]",Borås,1948,30 s. : ill.,,,,,,,,
,Folkets Parks teater Linköping 1921-1946,Linköping,1946,32 s. : ill.,,,,,,,,
,Folkets Park i Ljungsbro 25 år,Linköping,1953,23 s. : ill.,,,,,,,,
,Folkparksfrågan i Ljusne : Folkparkskommitténs utredning,Söderhamn,1942,22 s.,,,,,,,,
"Kvarnström, Sune",Föreningen Folkets Park i Mora U.P.A. 25 år : en berättelse om Mora Folkets Park 1926-1951,Mora,1951,14 s. : ill.,"Jansson, Einar",,,,,,,
,Folkets Hus och Park i Norrhult : fyrtioårsjubileet 1948,Åseda,1948,33 s. : ill.,,,,,,Kronobergsarkivet,,
,Föreningen Nybro Folkets Hus och Park 1907-1957,Nybro,1957,29 s. : ill.,,,,,,,,
,Föreningen Nybro Folkets Hus och Park 1907-1947,Nybro,1947,20 s. : ill.,,,,,,,,
,Festskrift till Skellefteå stads Folkets Hus- och Parkjubileum 1951 [1926-1951],Umeå,1951,15 s. : ill.,,,,,,,,
,Föreningen Folkets Park Sundsvall 25 år,Sundsvall,1927,28 s. : ill.,,,,,,,,
,Folkets Park Säffle 25 år 1929-1954,Säffle,1954,31 s. : ill.,,,,,,,,
,Aktiebolaget Folkets Park :  festskrift 1907-1947,Tranås,1947,10 s. : ill.,,,,,,,,
,Folkets hus och Folkets Park 1897-1927 : minnesskrift [Trelleborg],Malmö,1927,16 s. : ill.,,,,,,,,
,"Folkets Hus och Folkets Park, Trelleborg 29/8 1897-1937 : minnesskrift",Trelleborg,1937,17 s. : ill.,,,,,,,,
"Sellman, Birger","Folkets Park, Trollhättan, 25 år 1945 : festskrift",Trollhättan,1945,43 s. : ill.,,,,,,,,
,"Föreningen Folkets Park u.p.a. Valdemarsvik, 1924-1944",Valdemarsvik,1944,20 s. : ill.,,,,,,,,
"Kanje, Allan",A.B. Varbergs nöjesplats Varberg 1932-1942 : jubileumsskrift utgiven med anledning av företagets 10-åriga tillvaro,Varberg,1942,43 s. : ill.,,,,,,,,
,Berättelse om Vetlanda Folkets Park åren 1915-1935,Jönköping,1935,23 s. : ill.,,,,,,,,
"Johansson, Anton",Berättelser över Folkets Park Värnamo femtonåriga verksamhet 1914-1929,Jönköping,1929,28 s. : ill.,"Karlsson, Harald Wahlgren, Yngve",,,,,,,ARAB Organisationstryck FHR o FPC lokalt B 25/53
,Festskrift utgifven med anledning av Folkets Park i Västervik 20-åriga tillvaro.,Västervik,1922,11 s. : ill.,,,,,,,,
"Jeansson, Carl",Folkets Park Västervik : 50-årsberättelse tiden 1902-1952,Västervik,1952,48 s. : ill.,,,,,,Dalarnas Folkrörelsearkiv,,
"Hedberg, Aug.",Föreningen Folkets Hus och Park i Västerås u.p.a. 50 år 14/5 1899-1949,Västerås,1949,45 s. : ill.,,,,,,,,
,Växjö Folkets Park 1910-1935,Växjö,1935,30 s. : ill.,,,,,,Kronobergsarkivet,,Br 67/4107
"Jullum, Bjarne",Folkets Hus : 1907-1932,Oslo,1932,,,,,,,,,23 762
"Berner, Rudolf",Kultur till vardags ; Reportageserie,Stockholm,1953,,,,,,,Särtryck ur Metallarbetaren 1953,,Br/ 5140
,Samlingslokaler ; Anvisningar och bestämmelser gällande vid anordnande av allmänna samlingslokaler,Stockholm,1943,,,,,,,,,Br/ 24 991
,Folkets Husföreningarnas Centralorganisation ; klipp,Stockholm,"23/4 1940, 1941",,,,,,,Klipp ur Socialdemokraten 23/4 1940 Klipp ur Fackföreningsrörelsen nr 9 1941,,Fackfören. hist
"Drougge, Per / red.",Folkets Hus - kulturhuset / Idé och verklighet,Södertälje Kulturnämnd,1980,44 s. : ill.,"Bergdahl-Nörby, Kerstin ;  bildtext","Göransson, Hans Carlsson, Leif ; omslag",Södertälje Kulturnämnd,,,,,
"Johansson, B",Folkets Hus i folkhemmet [Artikel],,1973,,,,,,,I tiskriften Arkitektur nr 7/73,,
"Gelotte, Göran",(Nya) Folkets Hus i Södertälje 1970-1990. Liten historik,Södertälje,1990,16 s. : ill.,,,,,,,,
"Gelotte, Hanna",Folkparken i Södertälje. Dokumentation av en Folkpark,"Torekällsbergets museum, Södertälje",,21 s.,,,Torekällsbergets museum,,,,,
"Bergius, Niklas","Vid invigningen av Grängesbergs teater,  Minnesskrift utgiven av Brunnsvikarnas förbund.",Stockholm,1948,10 s. : ill.,,,Brunnsvikarnas förbund,,,,,
"Hellström, Sven","Folkets Hus [Linköping] i Arbete, stolthet, respekt. Metalls avdelning 83 1899-1999",Linköping,1999,2 s. : ill.,,"Swartling, Sten (intervjuer) Wirström, Håkan (Layout och foto)","Metallindustriarbetareförbundets avd 83, Linköping",,91-630-7532-6,,,39789
,Arvika-Parken 75 år 1923-1998.,Arvika,1998,23 s. : ill.,,,Folkets Parkstyrelsen Arvika,,,,,
"Sundén, Emil","Folkets Park, Karlshamn, 20 år, 1923",[Karlshamn],[1923],,,,,,,,,
,"Föreningen Folkets Hus u p a Karlshamn 90 år, 1990",,,,,,,,,,,
"Moberg, Ove",Karlshamns historia IV 1863-1949,,,146  s. samt 31 s. ill.,,,,,,,,
"Rhudin, Åke / Jonsson, Ingvar",Folkets Hus Tungelsta 80 år,,1993,16 s. : ill.,,"Bergström, Ernst",Tungelsta Folkets Husförening,,,Uppgift FHP-enkät,,
,Den svenska sommarens själ. Handlingsprogram för folkparkerna på 1990-talet,,,51 s.,,,,,,,,
"Nilsson, Herbert",Från Folkets Hus till Folkets Park [Artikel],Stockholm,1992,13 s. ; ill.,,Enskede hembygdsförening,,,,Ingår i Småskrifter / Enskede hembygdsförening,,
"Berg, Elly ; En skolklass i Rinkeby m fl",Rinkeby Folkets Hus : en mötesplats mitt i världen : tecknat och skrivet av en skolklass i Rinkeby.,Stockholm,1986,79 s. : ill.,,,Kultursamverkansprojketet i Rinkeby,,91-7328-526-9,SSM faktarummet,,
"Zetterström, Sven",Folkets Park - Historik och händelser,Oxelösund,1996,9 s. : ill.,,"Karlsson, Mats",Oxelösund Produktion KB,,91-630-4669-5,Ingår i Oxelösund i händelsernas centrum s. 120-128,,
"Bengtsson, Staffan / Willis, Göran",Sagan som blev verklighet,"Bilda förlag, Stockholm",2001,7 s. : ill.,,,,,91-574-5963-0,Ingår i K-spanarna går husesyn,,67/19 499
"Schuster, Franz/Schacherl, Franz",Proletarische Kulturhäuser,Wien,1926,,,,,,,,,Br /19 317
"Peus, Heinrich",Populdomo di futuro - Volkshaus der Zukunft,Dessau,1910,16 s.,,,,,,"Ingår i Internaciona Socialisto, nov 1910",,Br/ 11 311
,"Historik över Folkets hus byggnadsförening u p a verksamhet åren 1926-1939. [Folkets Hus byggnadsförening, Skutskär]",Älvkarleby,1939,,,,,,,Förvaras på FAC Folkrörelsernas arkiv för Uppsala län; R 1991,,
,Föreningen Folkets Hus u.p.a. Enköping. Ett stycke historia,Enköping,u å,,,,,,,Förvaras på FAC Folkrörelsernas arkiv i Uppsala län; A 1999:0052,,
,Föreningen Folkets Hus i Uppsala 100 år 1898-1998,Uppsala,1998,,,,,,,Förvaras på FAC Folkrörelsernas arkiv i Uppsala län; A 1999:0056 R,,
,[Folkets Hus förening i Österby-Dannemora] 50-års jubileum 1922-1972,Östhammar,1972,,,,,,,Förvaras på FAC Folkrörelsernas arkiv i Uppsala län; R 1997,,
,Minnen omkring Knutby Folkets Park. Året var 1928,Uppsala,u å,,,,,,,Förvaras på FAC Folkrörelsernas arkiv i Uppsala län; R 1997,,
,Historik över Folkets Park i Mölndal 1918-1928,,,,,,,,,Förvaras på FA Mölndal,,
